locus_tag,gene,producto,inicio,fin,longitud_nt,longitud_aa,strand,protein_id
b4498,gatR,"DNA-binding transcriptional repressor GatR, N-terminal fragment",2169692,2171727,2035,678,-,NA
b2088,insE5,IS3 element protein InsE,2170235,2170535,300,100,+,AAC75149.2
b2089,insF5,IS3 element protein InsF,2170531,2171398,867,289,+,AAC75150.1
b2091,gatD,galactitol-1-phosphate 5-dehydrogenase,2171832,2172873,1041,347,-,AAC75152.1
b2093,gatB,galactitol-specific PTS enzyme IIB component,2174281,2174566,285,95,-,AAC75154.1
b2094,gatA,galactitol-specific PTS enzyme IIA component,2174596,2175049,453,151,-,AAC75155.1
b2095,gatZ,"putative tagatose-1,6-bisphosphate aldolase 2 chaperone",2175058,2176321,1263,421,-,AAC75156.1
b2096,gatY,"tagatose-1,6-bisphosphate aldolase 2",2176349,2177204,855,285,-,AAC75157.2
b2097,fbaB,fructose-bisphosphate aldolase class I,2177511,2178564,1053,351,-,AAC75158.2
b2098,yegT,putative transporter YegT,2178820,2180098,1278,426,+,AAC75159.1
b2099,yegU,putative ADP-ribosylglycohydrolase YegU,2180094,2181099,1005,335,+,AAC75160.1
b2100,yegV,putative sugar kinase YegV,2181095,2182061,966,322,+,AAC75161.1
b2101,yegW,DNA-binding transcriptional regulator GgaR,2182034,2182781,747,249,-,AAC75162.1
b2102,yegX,putative glycosyl hydrolase YegX,2182832,2183651,819,273,-,AAC75163.2
b2103,thiD,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,2183715,2184516,801,267,-,AAC75164.1
b2104,thiM,hydroxyethylthiazole kinase,2184512,2185301,789,263,-,AAC75165.1
b2105,rcnR,DNA-binding transcriptional repressor RcnR,2185523,2185796,273,91,-,AAC75166.1
b2106,rcnA,Ni(2(+))/Co(2(+)) exporter,2185916,2186741,825,275,+,AAC75167.1
b2107,rcnB,periplasmic protein involved in Ni/Co export,2186959,2187298,339,113,+,AAC75168.2
b2108,yehA,putative fimbrial adhesin YehA,2187379,2188414,1035,345,-,AAC75169.1
b2109,yehB,putative fimbrial usher protein YehB,2188429,2190910,2481,827,-,AAC75170.1
b2110,yehC,putative fimbrial chaperone YehC,2190925,2191645,720,240,-,AAC75171.1
b2111,yehD,putative fimbrial protein YehD,2191679,2192222,543,181,-,AAC75172.1
b2112,yehE,DUF2574 domain-containing protein YehE,2192514,2192796,282,94,-,AAC75173.1
b2113,mrp,P-loop NTPase family protein Mrp,2193058,2194168,1110,370,-,AAC75174.2
b2114,metG,methionine--tRNA ligase,2194299,2196333,2034,678,+,AAC75175.1
b2115,yehF,PF05406 family protein YehF,2196473,2197298,825,275,+,AYC08227.1
b2118,yehI,DUF4132 domain-containing protein YehI,2200278,2203911,3633,1211,+,AAC75179.1
b4541,yehK,uncharacterized protein YehK,2203971,2204289,318,106,+,ABD18687.1
b2119,yehL,putative AAA(+) MoxR family ATPase YehL,2204595,2205684,1089,363,+,AAC75180.2
b2120,yehM,uncharacterized protein YehM,2205694,2207974,2280,760,+,AAC75181.1
b2121,yehP,VWA domain-containing protein YehP,2207966,2209103,1137,379,+,AAC75182.1
b2122,yehQ,SWIM zinc finger domains-containing protein YehQ,2209099,2210944,1845,615,+,AYC08228.1
b2123,yehR,DUF1307 domain-containing lipoprotein YehR,2211224,2211686,462,154,+,AAC75184.2
b2124,yehS,DUF1456 domain-containing protein YehS,2211725,2212196,471,157,-,AAC75185.1
b2125,btsR,DNA-binding transcriptional dual regulator BtsR,2212242,2212962,720,240,-,AAC75186.2
b2126,btsS,high-affinity pyruvate receptor,2212958,2214644,1686,562,-,AAC75187.1
b2127,mlrA,DNA-binding transcriptional activator MlrA,2214865,2215597,732,244,+,AAC75188.1
b4542,yohO,UPF0387 family protein YohO,2215656,2215764,108,36,+,ABD18688.1
b2128,yehW,glycine betaine ABC transporter membrane subunit YehW,2215744,2216476,732,244,-,AAC75189.1
b2129,yehX,glycine betaine ABC transporter ATP binding subunit YehX,2216480,2217407,927,309,-,AAC75190.1
b2130,yehY,glycine betaine ABC transporter membrane subunit YehY,2217399,2218557,1158,386,-,AAC75191.1
b2131,osmF,glycine betaine ABC transporter periplasmic binding protein OsmF,2218563,2219481,918,306,-,AAC75192.1
b2132,bglX,putative periplasmic glycoside hydrolase,2219691,2221989,2298,766,-,AAC75193.1
b2133,dld,quinone-dependent D-lactate dehydrogenase,2222184,2223900,1716,572,+,AAC75194.1
b2134,pbpG,peptidoglycan DD-endopeptidase PbpG,2223937,2224870,933,311,-,AAC75195.2
b2135,yohC,putative inner membrane protein,2225043,2225631,588,196,-,AAC75196.2
b2136,yohD,DedA family protein YohD,2225800,2226379,579,193,+,AAC75197.2
b2137,yohF,putative oxidoreductase YohF,2226508,2227270,762,254,-,AAC75198.1
b4679,yohP,putative membrane protein YohP,2228981,2229065,84,28,+,ACO60001.1
b2140,dusC,tRNA-dihydrouridine(16) synthase,2229437,2230385,948,316,-,AAC75201.1
b2141,yohJ,putative 3-hydroxypropanoate export protein YohJ,2230623,2231022,399,133,+,AAC75202.1
b2142,yohK,putative 3-hydroxypropanoate export protein YohK,2231018,2231714,696,232,+,AAC75203.1
b2143,cdd,cytidine/deoxycytidine deaminase,2231843,2232728,885,295,+,AAC75204.1
b2144,sanA,DUF218 domain-containing protein SanA,2232877,2233597,720,240,+,AAC75205.1
b2145,yeiS,DUF2542 domain-containing protein YeiS,2233599,2233839,240,80,+,AAC75206.1
b2146,preT,dihydropyrimidine dehydrogenase (NAD(+)) subunit PreT,2234032,2235271,1239,413,+,AAC75207.1
b2147,preA,dihydropyrimidine dehydrogenase (NAD(+)) subunit PreA,2235264,2236500,1236,412,+,AAC75208.2
b2148,mglC,D-galactose/methyl-galactoside ABC transporter membrane subunit,2236742,2237753,1011,337,-,AAC75209.1
b2149,mglA,D-galactose/methyl-galactoside ABC transporter ATP binding subunit,2237768,2239289,1521,507,-,AAC75210.1
b2150,mglB,D-galactose/methyl-galactoside ABC transporter periplasmic binding protein,2239349,2240348,999,333,-,AAC75211.1
b2151,galS,DNA-binding transcriptional dual regulator GalS,2240627,2241668,1041,347,-,AAC75212.1
b2152,yeiB,DUF418 domain-containing protein YeiB,2241809,2242967,1158,386,-,AAC75213.1
b2153,folE,GTP cyclohydrolase 1,2242983,2243652,669,223,-,AAC75214.1
b2154,yeiG,S-formylglutathione hydrolase/S-lactoylglutathione hydrolase,2243909,2244746,837,279,+,AAC75215.1
b2155,cirA,Fe-catecholate outer membrane transporter CirA,2244777,2246769,1992,664,-,AAC75216.1
b2156,lysP,lysine:H(+) symporter,2247062,2248532,1470,490,-,AAC75217.1
b2157,yeiE,DNA-binding transcriptional dual regulator YeiE,2248736,2249618,882,294,-,AAC75218.1
b2158,yeiH,PF03601 family inner membrane protein YeiH,2249716,2250766,1050,350,+,AAC75219.1
b2159,nfo,endonuclease IV,2250839,2251697,858,286,+,AAC75220.1
b2160,yeiI,putative sugar kinase YeiI,2251699,2252788,1089,363,+,AAC75221.1
b2161,nupX,putative nucleoside transporter,2252894,2254145,1251,417,-,AAC75222.1
b2162,rihB,pyrimidine-specific ribonucleoside hydrolase RihB,2254244,2255186,942,314,-,AAC75223.1
b2163,yeiL,DNA-binding transcriptional activator YeiL,2255354,2256014,660,220,+,AAC75224.1
b2164,psuT,putative pseudouridine transporter,2256084,2257335,1251,417,-,AAC75225.1
b2165,psuG,pseudouridine-5'-phosphate glycosidase,2257428,2258367,939,313,-,AAC75226.1
b2166,psuK,putative pseudouridine kinase,2258354,2259296,942,314,-,AAC75227.1
b2167,fruA,fructose-specific PTS multiphosphoryl transfer protein FruA,2259718,2261410,1692,564,-,AAC75228.1
b2168,fruK,1-phosphofructokinase,2261426,2262365,939,313,-,AAC75229.1
b2169,fruB,fructose-specific PTS multiphosphoryl transfer protein FruB,2262364,2263495,1131,377,-,AAC75230.1
b2170,setB,sugar exporter SetB,2263862,2265044,1182,394,+,AAC75231.1
b4502,yeiW,putative metal-chelating domain-containing protein YeiW,2265040,2265295,255,85,-,ABD18689.1
b2171,yeiP,elongation factor P-like protein YeiP,2265449,2266022,573,191,+,AAC75232.2
b2172,yeiQ,putative oxidoreductase YeiQ,2266244,2267711,1467,489,+,AAC75233.1
b2173,yeiR,zinc-binding GTPase YeiR,2267828,2268815,987,329,+,AAC75234.1
b2174,lpxT,lipid A-core phosphotransferase,2268853,2269567,714,238,+,AAC75235.2
b2175,mepS,"peptidoglycan endopeptidase/peptidoglycan L,D-carboxypeptidase",2269978,2270545,567,189,+,AAC75236.1
b2176,pdeN,putative c-di-GMP phosphodiesterase PdeN,2270725,2272282,1557,519,+,AAC75237.1
b2177,yejA,oligopeptide ABC transporter periplasmic binding protein YejA,2272363,2274178,1815,605,+,AAC75238.2
b2178,yejB,putative oligopeptide ABC transporter membrane subunit YejB,2274178,2275273,1095,365,+,AAC75239.1
b2179,yejE,putative oligopeptide ABC transporter membrane subunit YejE,2275272,2276298,1026,342,+,AAC75240.1
b2180,yejF,oligopeptide ABC transporter ATP binding subunit YejF,2276299,2277889,1590,530,+,AAC75241.1
b2181,yejG,protein YejG,2277892,2278237,345,115,-,AAC75242.1
b2182,bcr,multidrug efflux pump Bcr,2278569,2279760,1191,397,-,AAC75243.1
b2183,rsuA,16S rRNA pseudouridine(516) synthase,2279787,2280483,696,232,-,AAC75244.1
b2184,radD,DNA repair helicase RadD,2280631,2282392,1761,587,+,AAC75245.1
b2185,rplY,50S ribosomal subunit protein L25,2282516,2282801,285,95,+,AAC75246.1
b2186,yejK,nucleoid-associated protein YejK,2282939,2283947,1008,336,-,AAC75247.1
b2187,yejL,DUF1414 domain-containing protein YejL,2284128,2284356,228,76,+,AAC75248.1
b2188,lapC,lipopolysaccharide signal transducer LapC,2284375,2286136,1761,587,+,AAC75249.1
b2190,yejO,adhesin-like autotransporter YejO,2286389,2290180,3791,1263,-,NA
b2192,insH8,IS5 transposase and trans-activator,2289064,2290045,981,327,-,AAC75091.2
b2193,narP,DNA-binding transcriptional dual regulator NarP,2290499,2291147,648,216,+,AAC75253.1
b2194,ccmH,holocytochrome c synthase CcmH component,2291357,2292410,1053,351,-,AAC75254.1
b2195,ccmG,thiol:disulfide oxidoreductase CcmG,2292406,2292964,558,186,-,AAC75255.1
b2196,ccmF,holocytochrome c synthase CcmF component,2292960,2294904,1944,648,-,AAC75256.1
b2197,ccmE,periplasmic heme chaperone,2294900,2295380,480,160,-,AAC75257.1
b2198,ccmD,cytochrome c maturation protein D,2295376,2295586,210,70,-,AAC75258.1
b2199,ccmC,cytochrome c maturation protein C,2295582,2296320,738,246,-,AAC75259.1
b2200,ccmB,cytochrome c maturation protein B,2296361,2297024,663,221,-,AAC75260.1
b2201,ccmA,cytochrome c maturation protein A,2297020,2297644,624,208,-,AAC75261.2
b2202,napC,periplasmic nitrate reductase cytochrome c protein,2297656,2298259,603,201,-,AAC75262.1
b2203,napB,periplasmic nitrate reductase cytochrome c550 protein,2298268,2298718,450,150,-,AAC75263.2
b2204,napH,ferredoxin-type protein NapH,2298714,2299578,864,288,-,AAC75264.1
b2205,napG,ferredoxin-type protein NapG,2299564,2300260,696,232,-,AAC75265.1
b2206,napA,periplasmic nitrate reductase subunit NapA,2300266,2302753,2487,829,-,AAC75266.1
b2207,napD,NapA signal peptide-binding chaperone NapD,2302749,2303013,264,88,-,AAC75267.1
b2208,napF,ferredoxin-type protein,2303002,2303497,495,165,-,AAC75268.1
b4604,yojO,uncharacterized protein YojO,2303605,2303770,165,55,+,AYC08229.1
b2209,eco,serine protease inhibitor ecotin,2303904,2304393,489,163,+,AAC75269.1
b2210,mqo,malate:quinone oxidoreductase,2305107,2306754,1647,549,-,AAC75270.1
b2211,yojI,ABC transporter family protein/microcin J25 efflux protein,2306971,2308615,1644,548,-,AAC75271.1
b2212,alkB,DNA oxidative demethylase,2308690,2309341,651,217,-,AAC75272.1
b2213,ada,DNA-binding transcriptional dual regulator/DNA repair protein Ada,2309340,2310405,1065,355,-,AAC75273.1
b2214,ftp,FAD:protein FMN transferase,2310478,2311534,1056,352,-,AAC75274.1
b2215,ompC,outer membrane porin C,2311645,2312749,1104,368,-,AAC75275.1
b2216,rcsD,RcsD phosphotransferase,2313487,2316160,2673,891,+,AAC75276.1
b2217,rcsB,DNA-binding transcriptional activator RcsB,2316176,2316827,651,217,+,AAC75277.1
b2218,rcsC,histidine kinase RcsC,2317026,2319876,2850,950,-,AAC75278.2
b2219,atoS,sensor histidine kinase AtoS,2320042,2321869,1827,609,+,AAC75279.1
b2220,atoC,DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC,2321865,2323251,1386,462,+,AAC75280.1
b2221,atoD,acetyl-CoA:acetoacetyl-CoA transferase subunit alpha,2323446,2324109,663,221,+,AAC75281.1
b2222,atoA,acetyl-CoA:acetoacetyl-CoA transferase subunit beta,2324108,2324759,651,217,+,AAC75282.1
b2223,atoE,short chain fatty acid transporter,2324755,2326078,1323,441,+,AAC75283.1
b2224,atoB,acetyl-CoA acetyltransferase,2326108,2327293,1185,395,+,AAC75284.1
b2225,yfaP,DUF2135 domain-containing protein YfaP,2327366,2328143,777,259,-,AAC75285.1
b2226,yfaQ,tandem DUF2300 domain-containing protein YfaQ,2328147,2329797,1650,550,-,AAC75286.1
b2229,yfaT,DUF1175 domain-containing protein YfaT,2334335,2334959,624,208,-,AAC75289.2
b2230,yfaA,DUF2138 domain-containing protein YfaA,2334955,2336644,1689,563,-,AAC75290.2
b2231,gyrA,DNA gyrase subunit A,2336792,2339420,2628,876,-,AAC75291.1
b2232,ubiG,bifunctional 3-demethylubiquinone-8 3-O-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase,2339566,2340289,723,241,+,AAC75292.1
b2233,yfaL,putative autotransporter adhesin YfaL,2340416,2344169,3753,1251,-,AAC75293.1
b4605,ypaB,protein YpaB,2344593,2344737,144,48,-,AYC08230.1
b2234,nrdA,ribonucleoside-diphosphate reductase 1 subunit alpha,2344864,2347150,2286,762,+,AAC75294.1
b4779,yoaM,protein YoaM,2347349,2347385,36,12,-,QNV50532.1
b2235,nrdB,ribonucleoside-diphosphate reductase 1 subunit beta,2347383,2348514,1131,377,+,AAC75295.1
b2236,yfaE,ferredoxin-like diferric-tyrosyl radical cofactor maintenance protein YfaE,2348513,2348768,255,85,+,AAC75296.1
b2237,inaA,putative lipopolysaccharide kinase InaA,2348821,2349472,651,217,-,AAC75297.1
b2239,glpQ,glycerophosphoryl diester phosphodiesterase GlpQ,2349934,2351011,1077,359,-,AAC75299.1
b2240,glpT,sn-glycerol 3-phosphate:phosphate antiporter,2351015,2352374,1359,453,-,AAC75300.1
b2241,glpA,anaerobic glycerol-3-phosphate dehydrogenase subunit A,2352646,2354275,1629,543,+,AAC75301.1
b2242,glpB,anaerobic glycerol-3-phosphate dehydrogenase subunit B,2354264,2355524,1260,420,+,AAC75302.1
b2243,glpC,anaerobic glycerol-3-phosphate dehydrogenase subunit C,2355520,2356711,1191,397,+,AAC75303.1
b2244,rpnE,inactive recombination-promoting nuclease-like protein RpnE,2356903,2357803,900,300,+,AAC75304.1
b2245,yfaU,2-keto-3-deoxy-L-rhamnonate aldolase,2358041,2358845,804,268,-,AAC75305.1
b2246,yfaV,putative transporter YfaV,2358862,2360152,1290,430,-,AAC75306.2
b2247,rhmD,L-rhamnonate dehydratase,2360208,2361414,1206,402,-,AAC75307.2
b2248,yfaX,putative DNA-binding transcriptional regulator YfaX,2361428,2362211,783,261,-,AAC75308.1
b2249,yfaY,IPR008135 CinA family protein YfaY,2362430,2363633,1203,401,-,AAC75309.1
b2250,yfaZ,putative porin YfaZ,2363732,2364275,543,181,-,AAC75310.2
b2251,nudI,pyrimidine deoxynucleotide diphosphatase NudI,2364553,2364979,426,142,+,AAC75311.1
b2252,ais,putative lipopolysaccharide core heptose(II)-phosphate phosphatase,2365017,2365620,603,201,-,AAC75312.1
b2253,arnB,UDP-4-amino-4-deoxy-L-arabinose aminotransferase,2365909,2367067,1158,386,+,AAC75313.4
b2254,arnC,undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,2367070,2368039,969,323,+,AAC75314.1
b2255,arnA,fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase,2368038,2370021,1983,661,+,AAC75315.1
b2256,arnD,putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD,2370017,2370908,891,297,+,AAC75316.1
b2257,arnT,lipid IVA 4-amino-4-deoxy-L-arabinosyltransferase,2370907,2372560,1653,551,+,AAC75317.1
b4544,arnE,undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnE subunit,2372556,2372892,336,112,+,ABD18693.1
b2258,arnF,undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnF subunit,2372891,2373278,387,129,+,AAC75318.2
b2259,pmrD,signal transduction protein PmrD,2373271,2373538,267,89,-,AAC75319.2
b2260,menE,o-succinylbenzoate--CoA ligase,2373647,2375003,1356,452,-,AAC75320.1
b2261,menC,o-succinylbenzoate synthase,2374999,2375962,963,321,-,AAC75321.1
b2262,menB,"1,4-dihydroxy-2-naphthoyl-CoA synthase",2375961,2376819,858,286,-,AAC75322.1
b2263,menH,"2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase",2376833,2377592,759,253,-,AAC75323.1
b2264,menD,2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate synthase,2377588,2379259,1671,557,-,AAC75324.1
b2265,menF,isochorismate synthase MenF,2379347,2380643,1296,432,-,AAC75325.2
b2266,elaB,tail-anchored inner membrane protein ElaB,2380721,2381027,306,102,-,AAC75326.1
b2267,elaA,putative acetyltransferase ElaA,2381081,2381543,462,154,-,AAC75327.1
b2268,rbn,ribonuclease BN,2381607,2382525,918,306,+,AAC75328.2
b2269,elaD,protease ElaD,2382712,2383924,1212,404,+,AAC75329.1
b2270,yfbK,IPR002035/DUF3520 domain-containing protein YfbK,2383994,2385722,1728,576,-,AAC75330.1
b2271,yfbL,putative peptidase YfbL,2385859,2386831,972,324,+,AAC75331.2
b2272,yfbM,DUF1877 domain-containing protein YfbM,2386933,2387437,504,168,+,AAC75332.1
b2273,yfbN,uncharacterized protein YfbN,2387709,2388426,717,239,-,AAC75333.1
b2274,yfbO,uncharacterized protein YfbO,2388634,2389057,423,141,+,AAC75334.2
b2275,yfbP,uncharacterized protein YfbP,2389115,2389964,849,283,+,AAC75335.2
b2276,nuoN,NADH:quinone oxidoreductase subunit N,2390047,2391505,1458,486,-,AAC75336.2
b2277,nuoM,NADH:quinone oxidoreductase subunit M,2391511,2393041,1530,510,-,AAC75337.1
b2278,nuoL,NADH:quinone oxidoreductase subunit L,2393204,2395046,1842,614,-,AAC75338.1
b2279,nuoK,NADH:quinone oxidoreductase subunit K,2395042,2395345,303,101,-,AAC75339.1
b2280,nuoJ,NADH:quinone oxidoreductase subunit J,2395341,2395896,555,185,-,AAC75340.1
b2281,nuoI,NADH:quinone oxidoreductase subunit I,2395907,2396450,543,181,-,AAC75341.1
b2282,nuoH,NADH:quinone oxidoreductase subunit H,2396464,2397442,978,326,-,AAC75342.1
b2283,nuoG,NADH:quinone oxidoreductase subunit G,2397438,2400165,2727,909,-,AAC75343.2
b2284,nuoF,NADH:quinone oxidoreductase subunit F,2400217,2401555,1338,446,-,AAC75344.1
b2285,nuoE,NADH:quinone oxidoreductase subunit E,2401551,2402052,501,167,-,AAC75345.1
b2286,nuoC,NADH:quinone oxidoreductase subunit CD,2402054,2403845,1791,597,-,AAC75346.2
b2287,nuoB,NADH:quinone oxidoreductase subunit B,2403950,2404613,663,221,-,AAC75347.1
b2288,nuoA,NADH:quinone oxidoreductase subunit A,2404628,2405072,444,148,-,AAC75348.1
b2289,lrhA,DNA-binding transcriptional dual regulator LrhA,2405702,2406641,939,313,-,AAC75349.1
b2290,alaA,glutamate--pyruvate aminotransferase AlaA,2407560,2408778,1218,406,+,AAC75350.1
b2291,yfbR,dCMP phosphohydrolase,2408861,2409461,600,200,+,AAC75351.1
b2292,yfbS,putative transporter YfbS,2409519,2411352,1833,611,-,AAC75352.1
b2293,hxpA,hexitol phosphatase A,2411438,2412089,651,217,-,AAC75353.2
b2294,yfbU,PF03887 family protein YfbU,2412099,2412594,495,165,-,AAC75354.2
b2295,yfbV,PF04217 family membrane protein YfbV,2412676,2413132,456,152,-,AAC75355.1
b2296,ackA,acetate kinase,2413469,2414672,1203,401,+,AAC75356.1
b2297,pta,phosphate acetyltransferase,2414746,2416891,2145,715,+,AAC75357.1
b2298,yfcC,putative transporter YfcC,2417080,2418601,1521,507,+,AAC75358.2
b2299,yfcD,putative Nudix hydrolase YfcD,2418633,2419176,543,181,-,AAC75359.1
b2300,yfcE,phosphodiesterase YfcE,2419233,2419788,555,185,-,AAC75360.1
b2301,yfcF,glutathione S-transferase YfcF,2419840,2420485,645,215,-,AAC75361.1
b2302,yfcG,disulfide bond oxidoreductase YfcG,2420620,2421268,648,216,+,AAC75362.1
b2303,folX,dihydroneopterin triphosphate 2'-epimerase,2421324,2421687,363,121,+,AAC75363.1
b2304,yfcH,epimerase family protein YfcH,2421707,2422601,894,298,+,AAC75364.1
b2305,rpnB,recombination-promoting nuclease RpnB,2422648,2423539,891,297,-,AAC75365.1
b2306,hisP,"lysine/arginine/ornithine ABC transporter/histidine ABC transporter, ATP binding subunit",2423735,2424509,774,258,-,AAC75366.1
b2307,hisM,"lysine/arginine/ornithine ABC transporter/histidine ABC transporter, membrane subunit HisM",2424516,2425233,717,239,-,AAC75367.1
b2308,hisQ,"lysine/arginine/ornithine ABC transporter/histidine ABC transporter, membrane subunit HisQ",2425229,2425916,687,229,-,AAC75368.1
b2309,hisJ,histidine ABC transporter periplasmic binding protein,2426005,2426788,783,261,-,AAC75369.1
b2310,argT,lysine/arginine/ornithine ABC transporter periplasmic binding protein,2427008,2427791,783,261,-,AAC75370.1
b2311,ubiX,flavin prenyltransferase,2428056,2428626,570,190,-,AAC75371.1
b2312,purF,amidophosphoribosyltransferase,2428720,2430238,1518,506,-,AAC75372.1
b2313,cvpA,colicin V production protein,2430274,2430763,489,163,-,AAC75373.1
b2314,dedD,cell division protein DedD,2431021,2431684,663,221,-,AAC75374.2
b2315,folC,bifunctional folylpolyglutamate synthetase/dihydrofolate synthetase,2431673,2432942,1269,423,-,AAC75375.1
b2316,accD,acetyl-CoA carboxyltransferase subunit beta,2433011,2433926,915,305,-,AAC75376.1
b2317,dedA,DedA family protein DedA,2434081,2434741,660,220,-,AAC75377.1
b2318,truA,tRNA pseudouridine(38-40) synthase,2434823,2435636,813,271,-,AAC75378.1
b2319,usg,putative semialdehyde dehydrogenase Usg,2435635,2436649,1014,338,-,AAC75379.1
b2320,pdxB,erythronate-4-phosphate dehydrogenase,2436714,2437851,1137,379,-,AAC75380.1
b2321,flk,putative flagella assembly protein,2437949,2438945,996,332,+,AAC75381.1
b2322,yfcJ,putative transporter YfcJ,2438941,2440120,1179,393,-,AAC75382.1
b2323,fabB,3-oxoacyl-[acyl carrier protein] synthase 1,2440384,2441605,1221,407,-,AAC75383.1
b2324,mnmC,fused tRNA 5-aminomethyl-2-thiouridylate methyltransferase and tRNA 5-aminomethyl-2-thiouridylate synthase,2441763,2443770,2007,669,+,AAC75384.2
b2325,yfcL,PF08891 family protein YfcL,2443890,2444169,279,93,-,AAC75385.1
b2326,epmC,EF-P-Lys34 hydroxylase,2444202,2444751,549,183,-,AAC75386.1
b2327,yfcA,putative transporter YfcA,2444750,2445560,810,270,-,AAC75387.1
b2328,mepA,peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase,2445559,2446384,825,275,-,AAC75388.1
b2329,aroC,chorismate synthase,2446387,2447473,1086,362,-,AAC75389.1
b2330,prmB,ribosomal protein L3 N(5)-glutamine methyltransferase,2447507,2448440,933,311,-,AAC75390.2
b2331,smrB,ribosome rescue factor SmrB,2448605,2449157,552,184,+,AAC75391.1
b2332,yfcO,DUF2544 domain-containing protein YfcO,2449227,2450049,822,274,-,AAC75392.2
b2333,yfcP,putative fimbrial protein YfcP,2450050,2450590,540,180,-,AAC75393.1
b2334,yfcQ,putative fimbrial protein YfcQ,2450586,2451075,489,163,-,AAC75394.1
b2335,yfcR,putative fimbrial protein YfcR,2451071,2451584,513,171,-,AAC75395.1
b2336,yfcS,putative fimbrial chaperone YfcS,2451583,2452336,753,251,-,AAC75396.1
b2339,yfcV,putative fimbrial protein YfcV,2455082,2455646,564,188,-,AAC75399.1
b2340,sixA,phosphohistidine phosphatase SixA,2456326,2456812,486,162,-,AAC75400.1
b2341,fadJ,multifunctional 3-hydroxyacyl-CoA dehydrogenase/3-hydroxyacyl-CoA epimerase/enoyl-CoA hydratase FadJ,2457014,2459159,2145,715,-,AAC75401.1
b2342,fadI,3-ketoacyl-CoA thiolase FadI,2459158,2460469,1311,437,-,AAC75402.1
b2343,yfcZ,DUF406 domain-containing protein YfcZ,2460649,2460934,285,95,-,AAC75403.2
b2344,fadL,long-chain fatty acid outer membrane channel/bacteriophage T2 receptor,2461305,2462646,1341,447,+,AAC75404.2
b2345,yfdF,protein YfdF,2463011,2464070,1059,353,+,AAC75405.1
b2346,mlaA,intermembrane phospholipid transport system - outer membrane lipoprotein MlaA,2464251,2465007,756,252,-,AAC75406.1
b2347,yfdC,inner membrane protein YfdC,2465300,2466233,933,311,+,AAC75407.1
b2349,intS,prophage CPS-53 integrase,2466544,2467702,1158,386,+,AAC75408.1
b2350,yfdG,putative bactoprenol-linked glucose translocase,2467854,2468217,363,121,+,AAC75409.1
b2351,yfdH,bactoprenol glucosyl transferase,2468213,2469134,921,307,+,AAC75410.1
b2352,yfdI,serotype-specific glucosyl transferase YfdI,2469130,2470462,1332,444,+,AAC75411.1
b4780,yodE,toxic protein YodE,2470496,2470643,147,49,-,QNV50533.1
b2354,yfdK,putative tail fiber assembly protein YfdK,2471076,2471517,441,147,-,AAC75413.1
b2356,yfdM,putative methyltransferase YfdM,2472111,2472387,276,92,-,AYC08231.1
b2357,yfdN,uncharacterized protein YfdN,2472386,2472881,495,165,-,AAC75416.1
b2358,yfdO,protein YdfO,2472877,2473246,369,123,-,AYC08232.1
b2359,yfdP,uncharacterized protein YfdP,2473603,2473966,363,121,+,AAC75418.2
b2360,yfdQ,DUF2303 domain-containing protein YfdQ,2474031,2474856,825,275,+,AAC75419.1
b2361,yfdR,5'-deoxynucleotidase,2474983,2475520,537,179,+,AAC75420.2
b2362,yfdS,protein YfdS,2475510,2475873,363,121,+,AAC75421.1
b2363,yfdT,protein YfdT,2475872,2476178,306,102,+,AAC75422.1
b4545,ypdJ,putative uncharacterized protein YpdJ,2476093,2476234,141,47,+,AYC08233.1
b4501,torI,prophage CPS-53 recombination directionality factor and response regulator inhibitor,2476309,2476510,201,67,+,ABD18695.1
b2364,dsdC,DNA-binding transcriptional dual regulator DsdC,2476693,2477629,936,312,-,AAC75423.1
b2365,dsdX,D-serine transporter,2477846,2479184,1338,446,+,AAC75424.1
b2366,dsdA,D-serine ammonia-lyase,2479201,2480530,1329,443,+,AAC75425.1
b2367,emrY,tripartite efflux pump membrane subunit EmrY,2480637,2482176,1539,513,-,AAC75426.1
b2368,emrK,tripartite efflux pump membrane fusion protein EmrK,2482175,2483339,1164,388,-,AAC75427.1
b4781,evgL,protein EvgL,2483728,2483758,30,10,+,QNV50534.1
b2369,evgA,DNA-binding transcriptional activator EvgA,2483754,2484369,615,205,+,AAC75428.1
b2370,evgS,sensor histidine kinase EvgS,2484373,2487967,3594,1198,+,AAC75429.1
b2371,yfdE,acetyl-CoA:oxalate CoA-transferase,2488022,2489168,1146,382,-,AAC75430.2
b2372,yfdV,putative transport protein YfdV,2489241,2490186,945,315,-,AAC75431.1
